11:07,32_2018-01-02
11:32,32_2018-01-03
08:43,32_2018-01-04
08:11,32_2018-01-05
07:00,32_2018-01-08
08:28,32_2018-01-09
10:29,32_2018-01-10
08:34,32_2018-01-11
08:32,32_2018-01-12
07:19,32_2018-01-15
08:58,32_2018-01-16
11:22,32_2018-01-17
08:37,32_2018-01-18
08:38,32_2018-01-19
11:41,32_2018-01-22
09:51,32_2018-01-23
08:45,32_2018-01-24
09:04,32_2018-01-25
07:57,32_2018-01-26
07:21,32_2018-01-29
08:15,32_2018-01-30
09:06,32_2018-01-31
09:30,33_2018-01-02
08:32,33_2018-01-03
09:30,33_2018-01-04
08:30,33_2018-01-05
09:16,33_2018-01-08
09:05,33_2018-01-09
08:51,33_2018-01-10
09:16,33_2018-01-11
09:11,33_2018-01-12
09:22,33_2018-01-15
07:57,33_2018-01-16
09:32,33_2018-01-17
08:57,33_2018-01-18
09:02,33_2018-01-19
08:47,33_2018-01-22
09:07,33_2018-01-23
08:55,33_2018-01-24
08:57,33_2018-01-25
08:16,33_2018-01-26
07:28,33_2018-01-29
09:01,33_2018-01-30
08:40,33_2018-01-31
08:09,34_2018-01-02
12:18,34_2018-01-03
09:29,34_2018-01-04
08:09,34_2018-01-05
03:45,34_2018-01-09
09:01,34_2018-01-10
13:56,34_2018-01-11
08:23,34_2018-01-12
08:33,34_2018-01-15
09:02,35_2018-01-02
10:30,35_2018-01-03
09:53,35_2018-01-04
11:23,35_2018-01-05
10:27,35_2018-01-08
11:29,35_2018-01-09
10:00,35_2018-01-10
09:51,35_2018-01-11
10:47,35_2018-01-12
09:34,35_2018-01-15
09:52,35_2018-01-16
08:07,35_2018-01-17
07:35,35_2018-01-18
10:18,35_2018-01-19
09:16,35_2018-01-22
08:23,35_2018-01-23
09:45,35_2018-01-24
09:37,35_2018-01-25
09:09,35_2018-01-26
08:55,35_2018-01-29
10:00,35_2018-01-30
08:16,35_2018-01-31
08:04,36_2018-01-02
08:54,36_2018-01-03
08:54,36_2018-01-04
09:13,36_2018-01-05
09:14,36_2018-01-08
09:35,36_2018-01-09
09:46,36_2018-01-10
08:50,36_2018-01-31
02:05,37_2018-01-02
07:09,37_2018-01-03
06:21,37_2018-01-04
05:43,37_2018-01-05
07:10,37_2018-01-08
05:57,37_2018-01-09
06:40,37_2018-01-10
06:24,37_2018-01-11
07:10,37_2018-01-12
05:42,37_2018-01-15
04:41,37_2018-01-16
07:15,37_2018-01-17
08:04,37_2018-01-18
06:56,37_2018-01-19
08:00,37_2018-01-22
07:44,37_2018-01-23
05:53,37_2018-01-24
06:49,37_2018-01-25
07:26,37_2018-01-26
08:20,37_2018-01-29
06:27,37_2018-01-30
07:35,37_2018-01-31
09:15,38_2018-01-02
05:58,38_2018-01-03
07:50,38_2018-01-04
07:20,38_2018-01-05
05:10,38_2018-01-08
08:08,38_2018-01-09
06:38,38_2018-01-10
06:25,38_2018-01-11
07:13,38_2018-01-12
05:56,38_2018-01-15
07:34,38_2018-01-16
06:44,38_2018-01-17
07:31,38_2018-01-18
06:58,38_2018-01-19
07:06,38_2018-01-22
06:59,38_2018-01-23
07:21,38_2018-01-24
07:19,38_2018-01-25
06:08,38_2018-01-26
05:55,38_2018-01-29
07:48,38_2018-01-30
06:50,38_2018-01-31
08:40,39_2018-01-02
11:24,39_2018-01-03
09:07,39_2018-01-04
08:36,39_2018-01-05
08:15,39_2018-01-15
08:32,41_2018-01-02
08:12,41_2018-01-03
08:47,41_2018-01-04
08:50,41_2018-01-05
08:22,41_2018-01-08
09:43,41_2018-01-09
10:04,41_2018-01-10
10:44,41_2018-01-11
09:04,41_2018-01-12
07:44,41_2018-01-15
08:03,41_2018-01-16
09:43,41_2018-01-17
08:24,41_2018-01-18
09:52,41_2018-01-19
09:35,41_2018-01-22
08:58,41_2018-01-23
09:15,41_2018-01-24
10:56,41_2018-01-30
11:23,43_2018-01-03
09:15,43_2018-01-04
08:06,43_2018-01-05
08:43,43_2018-01-08
09:06,43_2018-01-09
08:19,43_2018-01-10
08:48,43_2018-01-11
08:43,43_2018-01-12
08:36,43_2018-01-15
08:35,43_2018-01-16
08:06,43_2018-01-17
08:13,43_2018-01-18
08:12,43_2018-01-19
08:30,43_2018-01-22
08:33,43_2018-01-23
08:09,43_2018-01-24
07:44,43_2018-01-25
08:10,43_2018-01-26
07:44,43_2018-01-29
08:16,43_2018-01-30
09:04,44_2018-01-02
11:49,44_2018-01-03
08:36,44_2018-01-04
09:30,44_2018-01-05
08:28,44_2018-01-08
08:03,44_2018-01-09
08:33,44_2018-01-10
08:58,44_2018-01-11
08:41,44_2018-01-12
08:18,44_2018-01-15
10:35,44_2018-01-16
08:49,44_2018-01-17
08:19,44_2018-01-18
07:53,44_2018-01-19
08:34,44_2018-01-22
08:22,44_2018-01-23
08:10,44_2018-01-24
08:10,44_2018-01-25
08:25,44_2018-01-26
09:05,44_2018-01-29
08:40,44_2018-01-30
